name,category,location,area_sqft,price,link,latitude,longitude,nearestMRT,distance
Macpherson Garden Estate,Terraced House,Jalan Setia · D13,2395,2600000,https://www.99.co/singapore/sale/property/jalan-setia-landed-aNNqBwc3wfAKqcUn7Dwjdh,1.326314,103.8860459,Mattar,0.003279051045655769
341 Clementi Avenue 5,HDB 3 Rooms,D5,731,325000,https://www.99.co/singapore/sale/property/341-clementi-avenue-5-hdb-b9jW7sEB9M9x7Eefc67oah,1.3190999,103.7690618,Clementi,0.005512284293282868
211 Hougang Street 21,HDB 3 Rooms,Singapore 530211 · D19,732,350000,https://www.99.co/singapore/sale/property/211-hougang-street-21-hdb-kWwTeEkMNLNaVBYoEjM4dc,1.359637,103.8877113,Kovan,0.002604766008696035
Glentrees,Condo,11E Mount Sinai Lane · D10,1442,2900000,https://www.99.co/singapore/sale/property/glentrees-condo-j5PJEgrFLCeSYVGRqqKHDG,1.3163321,103.7848114,Dover,0.007869451050737948
341 Clementi Avenue 5,HDB 3 Rooms,D5,732,325000,https://www.99.co/singapore/sale/property/341-clementi-avenue-5-hdb-fbYeajdujciyTwf4kT4HzH,1.3190999,103.7690618,Clementi,0.005512284293282868
D'leedon,Condo,15 Leedon Heights · D10,635,1250000,https://www.99.co/singapore/sale/property/dleedon-condo-NBM6Regfr5dnq4jixJSf7Q,1.31443,103.8026422,Farrer Road,0.005964737902878682
Waterview,Condo,79 Tampines Avenue 1 · D18,4200,3300000,https://www.99.co/singapore/sale/property/waterview-condo-y3BNBYVjreo7RSL6haVWW6,1.3487613,103.9263088,Tampines West,0.012315480509508895
27 Ghim Moh Link,HDB 2 Rooms,Singapore 270027 · D10,506,365000,https://www.99.co/singapore/sale/property/27-ghim-moh-link-hdb-J6NaLFdRRu8ook5hzEgAvE,1.3083426,103.7852002,Buona Vista,0.004906913621612983
225 Bishan Street 23,HDB 4 Rooms,Floor #4,1109,565000,https://www.99.co/singapore/sale/property/225-bishan-street-23-hdb-24ftJXWXF7KFHTMcB5hEiL,1.3587001,103.8475762,Bishan,0.008012075149422834
The Hillford,Condo,180 Jalan Jurong Kechil · D21,398,510000,https://www.99.co/singapore/sale/property/the-hillford-condo-N38JquCShaCoRy8cLeAE7d,1.344059,103.76984,Beauty World,0.006647806333658441
483 Choa Chu Kang Avenue 5,HDB 4 Rooms,Floor #15,1098,350000,https://www.99.co/singapore/sale/property/483-choa-chu-kang-avenue-5-hdb-Sfyj3niCCxk5UrGfNi6RUB,1.3758855,103.7376734,South View,0.008721196959705161
683C Choa Chu Kang Crescent,HDB 5 Rooms,D23,1195,350000,https://www.99.co/singapore/sale/property/683c-choa-chu-kang-crescent-hdb-rE9X4hHrU4DNerebaJJAtC,1.4046887,103.7463523,Yew Tee,0.007449027204272476
Waterview,Condo,87 Tampines Avenue 1 · Floor #01,980,880000,https://www.99.co/singapore/sale/property/waterview-condo-9iTFYGxX5sKbAq3apGzPHA,1.3487613,103.9263088,Tampines West,0.012315480509508895
Riverbank @ Fernvale,Condo,17 Fernvale Close · Floor #15,1044,1300000,https://www.99.co/singapore/sale/property/riverbank-fernvale-condo-9NknG3WHQoeVb4p5CaCwRk,1.3948429,103.8811451,Layar,0.002953820092696695
255 Bangkit Road,HDB 5 Rooms,D23,1313,450000,https://www.99.co/singapore/sale/property/255-bangkit-road-hdb-7DnrdWnzsRbzEqoc65D5eF,1.379636,103.7730226,Bangkit,0.0007310435623178129
408 Sin Ming Avenue,HDB 5 Rooms,Singapore 570408 · D20,1292,728000,https://www.99.co/singapore/sale/property/408-sin-ming-avenue-hdb-pvzA5fthWttC9TV3AkyrEK,1.3633439,103.834647,Marymount,0.015004077358504937
Visioncrest,Condo,37 Oxley Rise · D9,1195,2500000,https://www.99.co/singapore/sale/property/visioncrest-condo-SqHZUGkFKwT8XTxXqEt9Hm,1.2988332,103.8428781,Dhoby Ghaut,0.0026013698256916185
New Futura,Condo,14 Leonie Hill Road · D9,1098,3800000,https://www.99.co/singapore/sale/property/new-futura-condo-okCJm3sdTM4bVyLL8KkGgY,1.298893,103.8342507,Somerset,0.0046175836852300305
Leedon Residence,Condo,12 Leedon Heights · D10,5694,12600000,https://www.99.co/singapore/sale/property/leedon-residence-condo-aodW4DS8bCRDJNrw33CatR,1.3135159,103.802657,Farrer Road,0.006481658988253892
The Marq On Paterson Hill,Condo,8 Paterson Hill · D9,3014,15500000,https://www.99.co/singapore/sale/property/the-marq-on-paterson-hill-condo-5tbqYV9ymuYiJe7xRP74A6,1.3007169,103.8287136,Orchard,0.004499212710023426
New Futura,Condo,14 Leonie Hill Road · D9,7825,39800000,https://www.99.co/singapore/sale/property/new-futura-condo-xnMAZijvXtj5b5fpEaffxL,1.298893,103.8342507,Somerset,0.0046175836852300305
