name,category,location,area_sqft,price,latitude,longitude,nearestMRT,distance
212B Punggol Walk,HDB 2 Rooms,Singapore 822212 · D19,721,368000,1.4004965,103.8992422,Soo Teck,0.004562097070429457
448A Sengkang West Way,HDB 3 Rooms,Singapore 791448 · D28,990,435000,1.3931595,103.8731109,Fernvale,0.0033679563536423394
Amber 45,Condo,45 Amber Road · D15,1130,2490002,1.302636,103.901821,Dakota,0.014230991708241837
Riverfront Residences,Condo,43 Hougang Avenue 7 · D19,872,1080000,1.371715,103.900472,Hougang,0.00793738445898828
Marina Bay Residences,Condo,18 Marina Boulevard · D1,1130,2350000,1.2794341,103.8552903,Downtown,0.002477611450568582
Tanjong Ria Condominium,Condo,121 Tanjong Rhu Road · Floor #03,1206,1500000,1.2968309,103.8745815,Stadium,0.006008876687034126
Wallich Residence,Condo,3 Wallich Street · D2,614,2039000,1.2770913,103.8455579,Tanjong Pagar,0.0014296338587196338
Corals At Keppel Bay,Condo,1 Keppel Bay Drive · Floor #08,872,1808000,1.265951,103.816962,HarbourFront,0.0035961020591655794
The Nassim,Condo,18 Nassim Hill · D10,4564,15063000,1.306337,103.822531,Orchard,0.009538599370985234
Affinity At Serangoon,Condo,26 Serangoon North Avenue 1 · D19,463,790000,1.3661523,103.872814,Kovan,0.01371927501655056
Margaret Ville,Condo,20 Margaret Drive · D3,657,1183400,1.2992281,103.802964,Queenstown,0.005284606340114158
One Draycott,Condo,1 Draycott Park · D10,1345,3199999,1.310111,103.830757,Orchard,0.006187915865620798
Mayfair Gardens,Condo,8 Rifle Range Road · D21,506,938000,1.3385768,103.7814653,King Albert Park,0.0026358953412380644
JadeScape,Condo / Apt,319 Shunfu Road · D20,527,888888,1.350251,103.838019,Marymount,0.0016391475619976221
Twin VEW,Condo / Apt,91 West Coast Vale · D5,1055,1558000,1.3196983,103.7522372,Clementi,0.013739741436077388
Corals At Keppel Bay,Condo / Apt,1 Keppel Bay Drive · D4,893,1989000,1.265951,103.816962,HarbourFront,0.0035961020591655794
Casa Al Mare,Condo,75 Jalan Loyang Besar · D17,1098,1735000,1.377608,103.956669,Pasir Ris,0.008545532493646917
Kingsford Waterbay,Apartment,64 Upper Serangoon View · D19,850,1145000,1.3747664,103.9034487,Kangkar,0.009221088770855658
Twentyone Angullia Park,Condo,21 Angullia Park · D9,2260,7888800,1.303317,103.829481,Orchard,0.002401673158451079
New Futura,Condo,14 Leonie Hill Road · D9,1830,5904000,1.298136,103.834132,Somerset,0.00505703294234812
Marina One Residences,Condo / Apt,23 Marina Way · D1,1130,2920670,1.2796151,103.8547244,Downtown,0.0019180773733086963
D'leedon,Condo,13 Leedon Heights · D10,3778,5195480,1.3146551,103.8015965,Holland Village,0.006496707489182079
The Navian,Condo / Apt,178 Jalan Eunos · D14,893,1489000,1.327827,103.906565,Ubi,0.006829335830813273
The Ritz-Carlton Residences,Condo,65 Cairnhill Road · D9,2831,9980000,1.3079925,103.836064,Orchard,0.00584954201710568
Seaside Residences,Condo,14 Siglap Link · D15,1206,2115000,1.3076933,103.9278752,Bedok,0.016478917175894146
South Beach Residences,Condo,28 Beach Road · D7,936,3376000,1.2940548,103.8557465,Esplanade,0.0003890252690952632
Gem Residences,Condo,1 Lorong 5 Toa Payoh · D12,936,1818000,1.333181,103.85447,Toa Payoh,0.007096049515754409
The Nassim,Condo / Apt,18 Nassim Hill · D10,5306,16114000,1.306337,103.822531,Orchard,0.009538599370985234
The Jovell,Condo,13 Flora Drive · D17,441,599999,1.3569238,103.9649053,Tampines East,0.01027265583429253
The Jovell,Condo,13 Flora Drive · D17,678,835000,1.3569238,103.9649053,Tampines East,0.01027265583429253
Affinity At Serangoon,Condo,26 Serangoon North Avenue 1 · D19,461,695000,1.3661523,103.872814,Kovan,0.01371927501655056
The Tre Ver,Condo,110 Potong Pasir Avenue 1 · D13,700,898000,1.3364414,103.8651531,Woodleigh,0.006196602749895614
Mont Botanik Residence,Condo,2 Jalan Remaja · D23,700,1300000,1.357386,103.761442,Hillview,0.008221445464758679
